MxPageAlwaysHot:: 0x797e04
MiSyncSystemPdes:: 0xe2c18
MiProcessWsInSwapRanges:: 0xb0b28
KiInitializeUserApc$filt$0:: 0x160315
ExpGetProcessInformation$filt$4:: 0x5770ee
AlpcpDeleteBlob:: 0x46a708
IopStoreArcInformation:: 0x78f52c
PpmParkSteerInterrupts:: 0x1f020
PpmSnapPerformanceAccumulation:: 0x204d0
ExpGetProcessInformation$filt$5:: 0x577130
KiSetPriorityThread:: 0x1a250
RtlFindLastBackwardRunClear:: 0xee110
ExpGetProcessInformation$filt$6:: 0x576fe6
ExTryQueueWorkItemFromIo:: 0x101bf4
ExpGetProcessInformation$filt$7:: 0x577172
ExpGetSystemFirmwareTableInformation:: 0x4c33d4
ExpGetProcessInformation$filt$0:: 0x576f20
_RegRtlOpenPredefinedKey:: 0x55d548
ExpGetProcessInformation$filt$1:: 0x576f62
SeValidateImageHeader:: 0x48bd38
ExpGetProcessInformation$filt$2:: 0x576fa4
PoBroadcastSystemState:: 0x3c1828
ExpGetProcessInformation$filt$3:: 0x5770ac
PspAllocateAndQueryNotificationChannel:: 0x3ddb68
KiSelectLowestRankedThread:: 0x12b6c
ExpReleaseResourceForThreadLite:: 0x708c0
PopTraceEsState:: 0x118540
MiReferencePageRuns:: 0xbe02c
ExpGetProcessInformation$filt$8:: 0x577028
ExpGetProcessInformation$filt$9:: 0x57706a
PnpRemoveLockedDeviceNode:: 0xe36c0
PopNetUpdateCsConsumptionFlags:: 0x55de50
RtlUnicodeStringToOemString$fin$0:: 0x578476
EtwpUpdateFileHeader:: 0x4d6a28
PpmParkParkingAvailable:: 0x54e5d8
PnpUnlinkDeviceRemovalRelations:: 0x4ae458
PsOpenProcess:: 0x435a20
CcAllocateVacbLevel:: 0xd982c
PnpPrepareDriverLoading:: 0x3dd240
SeOpenObjectAuditAlarmWithTransaction:: 0x40ef30
MiUpdatePfnPriority:: 0x8af68
KeSetActualBasePriorityThread:: 0x19ef0
EtwTraceWorkingSetSwap:: 0x47b810
KiVerifyXcpt13$filt$3:: 0x7b8b87
KiSchedulerApcTerminate:: 0x4b6c28
SepAdtInitializePrivilegeAuditing:: 0x5519b8
MiLockPageAndSetDirty:: 0x7eaa8
ExpGetSystemBasicInformation$filt$0:: 0x15faf2
PopInitSIdle:: 0x527040
PspStorageAllocSlot:: 0x53ae20
PiSwIrpPropertySet:: 0x525c44
PopFxActivateComponent:: 0x12a5dc
MmAllocateMappingAddress:: 0x50e220
KeAcquireInterruptSpinLock:: 0xf242c
KxWaitForSpinLockAndAcquire:: 0x1f840
IopCheckListForCancelableIrp:: 0xb72b4
PfSnPrefetchCacheCtxStart:: 0x55a96c
PnpCompareResourceRequestPriority:: 0x55a4f8
PiDqObjectManagerHandleObjectEvent:: 0x4c1958
PipCreateDependencyNode:: 0x54c178
MxGetNextPage:: 0x797bc8
ObSetSecurityDescriptorInfo:: 0x40f4e8
KiAddProcessorToGroupDatabase:: 0x12adf4
PspJobDeleteStorageArrays:: 0x3e05bc
RtlpMuiRegLoadLicInformation:: 0x131d74
_TlgDefineProvider_annotation__TlgVslpIumTelemetryProviderProv:: 0x15bbc8
NtDeleteValueKey:: 0x503744
DbgLoadImageSymbols:: 0xf2344
WheapInitializeEventing:: 0x7b33e8
MiPurgeLargeZeroNodePages:: 0x113274
AlpcpReleaseMessageAttributesOnCancel:: 0x468344
CcSetAdditionalCacheAttributes:: 0xdce78
_TlgDefineProvider_annotation__TlgTlgKernelSeRegHandleProv:: 0x15bbc8
NtCreateProcessEx:: 0x4d0708
MiParseImageSectionHeaders:: 0x43e080
RtlStringLengthWorkerA:: 0x1ad648
IopPortAddAllocation:: 0x540acc
WmipOpenBlock:: 0x4d8348
PiAuAllocateAndInitializeSid:: 0x553818
PnpInitializeNotifyEntry:: 0x50efd4
KeCopyLastBranchInformation:: 0xa7554
ExUpdateLicenseDataInternal$fin$1:: 0x574a54
ExUpdateLicenseDataInternal$fin$0:: 0x574a0c
KsepCacheInitialize:: 0x5536c4
BuildKnownDlls:: 0x7a5808
KiIntSteerDisable:: 0x1162bc
PnpInitializeDeviceEvents:: 0x7b1a0c
NtQueryDriverEntryOrder$filt$1:: 0x6aba22
PpmUpdateProcessorPolicyCallback:: 0x1243c4
CcWriteBehindInternal:: 0x66958
CmpFinishSystemHivesLoad:: 0x537450
MiConvertStaticSubsections:: 0x825ec
_TlgDefineProvider_annotation__TlgTRACE_PROVIDERProv:: 0x15bbc8
PsMapSystemDlls:: 0x472f70
