MxPageAlwaysHot:: 0x8268c4
MiSyncSystemPdes:: 0x294b8
MiProcessWsInSwapRanges:: 0x77fc
KiInitializeUserApc$filt$0:: 0x173fe7
PopEtProcessSnapshotCreate:: 0x43d020
ExpGetProcessInformation$filt$4:: 0x5f22de
IopStoreArcInformation:: 0x8396d4
PpmParkSteerInterrupts:: 0xae480
PsReferenceImpersonationToken:: 0x54f0f0
PpmSnapPerformanceAccumulation:: 0x6bef0
ExpGetProcessInformation$filt$5:: 0x5f2320
KiSetPriorityThread:: 0x63210
RtlFindLastBackwardRunClear:: 0x102f30
ExpGetProcessInformation$filt$6:: 0x5f21d6
ExpGetProcessInformation$filt$7:: 0x5f2362
ExpGetSystemFirmwareTableInformation:: 0x5570f0
ExpGetProcessInformation$filt$0:: 0x5f2110
_RegRtlOpenPredefinedKey:: 0x5d515c
ExpGetProcessInformation$filt$1:: 0x5f2152
SeValidateImageHeader:: 0x4a7d10
WbCreateWarbirdProcess:: 0x575ed4
AnFwpDisableProgressTimer:: 0x7c549c
ExpGetProcessInformation$filt$2:: 0x5f2194
ExpGetProcessInformation$filt$3:: 0x5f229c
PspAllocateAndQueryNotificationChannel:: 0x452ee4
KiSelectLowestRankedThread:: 0xbb950
ExpReleaseResourceForThreadLite:: 0x51d20
MiReferencePageRuns:: 0x103efc
MmFreeVirtualMemory:: 0x50a010
PiDevCfgVerifyService:: 0x58eee8
KeIntSteerPeriodic:: 0x60f0
PopDeleteHiberFile:: 0x5bd160
ExpGetProcessInformation$filt$8:: 0x5f2218
ExpGetProcessInformation$filt$9:: 0x5f225a
PnpRemoveLockedDeviceNode:: 0x118430
PopNetUpdateCsConsumptionFlags:: 0x5d6724
RtlUnicodeStringToOemString$fin$0:: 0x5f2876
EtwpUpdateFileHeader:: 0x53d6c0
PpmParkParkingAvailable:: 0x59bd94
PnpUnlinkDeviceRemovalRelations:: 0x588de4
PsOpenProcess:: 0x521930
CcAllocateVacbLevel:: 0x10b818
PnpPrepareDriverLoading:: 0x54aad0
SeOpenObjectAuditAlarmWithTransaction:: 0x4c0100
MiUpdatePfnPriority:: 0xcf888
KeSetActualBasePriorityThread:: 0xba8a0
EtwTraceWorkingSetSwap:: 0x557898
PnpIsLegacyDriver:: 0x462088
CcForEachPartition:: 0x103470
KiVerifyXcpt13$filt$3:: 0x8525db
KiSchedulerApcTerminate:: 0x4b7440
SepAdtInitializePrivilegeAuditing:: 0x5b7e98
MiLockPageAndSetDirty:: 0xa8500
ExReleaseDisownedFastResource:: 0x127480
PspDeleteUserStack:: 0x57c878
ExpGetSystemBasicInformation$filt$0:: 0x1753cb
PopInitSIdle:: 0x5aff88
PspStorageAllocSlot:: 0x5a6b38
_CmSetDeviceInterfaceMappedPropertyFromRegValue:: 0x5c75ec
MmAllocateMappingAddress:: 0x567480
KeAcquireInterruptSpinLock:: 0x1033b0
IopCheckListForCancelableIrp:: 0x301b4
PiDevCfgConfigureDeviceKeys:: 0x56d670
PnpCompareResourceRequestPriority:: 0x5ce220
PiDqObjectManagerHandleObjectEvent:: 0x567590
NtAcquireProcessActivityReference$filt$0:: 0x5eeb4e
PipCreateDependencyNode:: 0x5ba854
MiCheckSecuredVad:: 0x515f1c
MxGetNextPage:: 0x82668c
ObSetSecurityDescriptorInfo:: 0x4e8d70
KiAddProcessorToGroupDatabase:: 0x11eca4
PspJobDeleteStorageArrays:: 0x44fa98
HvlpSendSyntheticClusterIpi:: 0x128768
RtlpMuiRegLoadLicInformation:: 0x11fca8
_TlgDefineProvider_annotation__TlgVslpIumTelemetryProviderProv:: 0x1198a0
NtDeleteValueKey:: 0x4dc4b8
DbgLoadImageSymbols:: 0xe7800
WheapInitializeEventing:: 0x8336ac
AlpcpReleaseMessageAttributesOnCancel:: 0x558240
CcSetAdditionalCacheAttributes:: 0xfceb0
NtCreateProcessEx:: 0x57eac0
IopInitializeCrashDump:: 0x5c1bbc
MiParseImageSectionHeaders:: 0x4a57e0
IoCsqRemoveIrp:: 0x1364b0
RtlStringLengthWorkerA:: 0x1d96e8
KsepResolveApplicableShimsForDriver:: 0x5a4a60
IopPortAddAllocation:: 0x5b6ee0
WmipOpenBlock:: 0x469df8
PiAuAllocateAndInitializeSid:: 0x5c7780
CmpCallCallBacksEx:: 0x52aa90
PnpInitializeNotifyEntry:: 0x56a8a8
KeCopyLastBranchInformation:: 0x1b394
ExUpdateLicenseDataInternal$fin$1:: 0x5f2611
SdbpCleanupLocalDatabaseSupport:: 0x54b4d0
ExUpdateLicenseDataInternal$fin$0:: 0x5f25c9
KsepCacheInitialize:: 0x5a4740
KiIntSteerDisable:: 0xe358c
PnpInitializeDeviceEvents:: 0x82d7d4
PipIommuValidateDevicePath:: 0x58b6f0
NtQueryDriverEntryOrder$filt$1:: 0x753b18
PpmUpdateProcessorPolicyCallback:: 0x13ada0
CcWriteBehindInternal:: 0x5fa60
CmpFinishSystemHivesLoad:: 0x5a8f30
ExInitializeFastResource:: 0x138d60
MiConvertStaticSubsections:: 0xb7540
_TlgDefineProvider_annotation__TlgTRACE_PROVIDERProv:: 0x58cb70
PsMapSystemDlls:: 0x4a1214
CmpFileWrite:: 0x540f40
RtlpCopyBitMapTailToHead:: 0x1661c
RtlGetVersion:: 0x54cd80
FsRtlGetFileSize:: 0x4a4b70
RtlCompareString:: 0x5518f0
KsepEvntLogShimsApplied:: 0x13e4fc
KGetUnlockSetting:: 0x576d0c
EmpParseTargetRuleStringIndexList:: 0x82cc40
PfpRpControlRequest:: 0x432fc0
PfSnGetCompletedTrace:: 0x444640
ExpGetKernelDataProtection$fin$0:: 0x5f26a2
RtlpMuiRegCreateKernelRegistryInfo:: 0x120348
EtwpEnableTrace:: 0x59f2c0
RawReadWriteDeviceControl:: 0x484b44
IoReleaseRemoveLockEx:: 0x102800
