MxPageAlwaysHot:: 0xa4fb9c
MiSyncSystemPdes:: 0x307950
RtlpHpVaMgrRangeCreate:: 0x32e690
KiInitializeUserApc$filt$0:: 0x3f6a8f
PopEtProcessSnapshotCreate:: 0x6f62cc
ExpGetProcessInformation$filt$4:: 0x7d3c80
AlpcpDeleteBlob:: 0x607e4c
IopStoreArcInformation:: 0xa63558
PpmParkSteerInterrupts:: 0x2cfb40
CcSetLoggedDataThreshold:: 0x34f6f0
PpmSnapPerformanceAccumulation:: 0x2c9d80
ExpGetProcessInformation$filt$5:: 0x7d3cc2
KiSetPriorityThread:: 0x2a88e0
MiFreeKernelPadSections:: 0xa7644c
RtlFindLastBackwardRunClear:: 0x33a2e0
ExpGetProcessInformation$filt$6:: 0x7d3d46
ExpGetProcessInformation$filt$7:: 0x7d3ed2
ExpGetSystemFirmwareTableInformation:: 0x6fcf7c
ExpGetProcessInformation$filt$0:: 0x7d3d04
_RegRtlOpenPredefinedKey:: 0x7bafe4
ExpGetProcessInformation$filt$1:: 0x7d3e0c
SeValidateImageHeader:: 0x649260
WbCreateWarbirdProcess:: 0x713d0c
AnFwpDisableProgressTimer:: 0xa004ec
ExpGetProcessInformation$filt$2:: 0x7d3e4e
PoBroadcastSystemState:: 0x99dde8
ExpGetProcessInformation$filt$3:: 0x7d3e90
PspAllocateAndQueryNotificationChannel:: 0x6eda90
KiSelectLowestRankedThread:: 0x2ec0f0
MiReferencePageRuns:: 0x2a6700
MmFreeVirtualMemory:: 0x665880
PiDevCfgVerifyService:: 0x76b030
PopPowerAggregatorDiagTraceEvent:: 0x7656a4
KeIntSteerPeriodic:: 0x2d0160
ExpGetProcessInformation$filt$8:: 0x7d3d88
ExpGetProcessInformation$filt$9:: 0x7d3dca
PnpRemoveLockedDeviceNode:: 0x359f50
PopNetUpdateCsConsumptionFlags:: 0x7baa98
RtlUnicodeStringToOemString$fin$0:: 0x7d8ceb
EtwpUpdateFileHeader:: 0x63f7a4
LocalGetAceCondition:: 0x6a9810
MiReadWriteAnyLevelShadowPte:: 0x2dcb28
PnpUnlinkDeviceRemovalRelations:: 0x737960
PsOpenProcess:: 0x6137c0
CcAllocateVacbLevel:: 0x254b3c
PnpPrepareDriverLoading:: 0x727050
HalpCmciSetProcessorConfigIntel:: 0x38b120
SeOpenObjectAuditAlarmWithTransaction:: 0x672ed0
MiUpdatePfnPriority:: 0x29887c
KeSetActualBasePriorityThread:: 0x2a8bf0
SshpSetBlockerActive:: 0x33b0b0
HalpTimerInitializeClock:: 0x399158
HalpDmaAllocateChildAdapterV2:: 0x753a4c
PnpIsLegacyDriver:: 0x7296dc
CcForEachPartition:: 0x265928
KiVerifyXcpt13$filt$3:: 0xa852ab
KiSchedulerApcTerminate:: 0x6f4c60
MiLockPageAndSetDirty:: 0x283818
SepIsChildTokenByPointer:: 0x6ec56c
ExReleaseDisownedFastResource:: 0x378b90
PspDeleteUserStack:: 0x70f998
ExpGetSystemBasicInformation$filt$0:: 0x3f884b
PopInitSIdle:: 0x77bdec
RtlpHpSegMgrCommitComplete:: 0x346f7c
PspStorageAllocSlot:: 0x77e6a8
PiSwIrpPropertySet:: 0x779914
_CmSetDeviceInterfaceMappedPropertyFromRegValue:: 0x757434
PopFxActivateComponent:: 0x3a8c70
KeAcquireInterruptSpinLock:: 0x3453f0
KxWaitForSpinLockAndAcquire:: 0x2d7db0
IopCheckListForCancelableIrp:: 0x343990
HvlFlushAddressSpaceTb:: 0x37a83c
PfSnPrefetchCacheCtxStart:: 0x7b6020
PiDevCfgConfigureDeviceKeys:: 0x7561d4
PiDqObjectManagerHandleObjectEvent:: 0x755388
NtAcquireProcessActivityReference$filt$0:: 0x7d9539
PipCreateDependencyNode:: 0x7a506c
MiCheckSecuredVad:: 0x6cfee4
MxGetNextPage:: 0xa4fac0
ObSetSecurityDescriptorInfo:: 0x619e30
KiAddProcessorToGroupDatabase:: 0x39edf8
PspJobDeleteStorageArrays:: 0x6ed8fc
RtlpMuiRegLoadLicInformation:: 0x3a1d28
