MxPageAlwaysHot        ntoskrnl.exe+0xAF344C
MiSyncSystemPdes        ntoskrnl.exe+0x21C5E4
RtlpHpVaMgrRangeCreate        ntoskrnl.exe+0x2345DC
MiProcessWsInSwapRanges        ntoskrnl.exe+0x25EDAC
KiInitializeUserApc$filt$0        ntoskrnl.exe+0x43376B
PopEtProcessSnapshotCreate        ntoskrnl.exe+0x79938C
ExpGetProcessInformation$filt$4        ntoskrnl.exe+0x862100
AlpcpDeleteBlob        ntoskrnl.exe+0x72AC58
IopStoreArcInformation        ntoskrnl.exe+0xB29A50
PpmParkSteerInterrupts        ntoskrnl.exe+0x2D21C0
CcSetLoggedDataThreshold        ntoskrnl.exe+0x3847D0
PsReferenceImpersonationToken        ntoskrnl.exe+0x677500
PpmSnapPerformanceAccumulation        ntoskrnl.exe+0x2D8D40
ExpGetProcessInformation$filt$5        ntoskrnl.exe+0x86213C
KiSetPriorityThread        ntoskrnl.exe+0x2C9C80
MiFreeKernelPadSections        ntoskrnl.exe+0xAF5074
RtlFindLastBackwardRunClear        ntoskrnl.exe+0x2306A0
ExpGetProcessInformation$filt$6        ntoskrnl.exe+0x8621B4
ExpGetProcessInformation$filt$7        ntoskrnl.exe+0x8621F0
ExpGetSystemFirmwareTableInformation        ntoskrnl.exe+0x6A2D14
ExpGetProcessInformation$filt$0        ntoskrnl.exe+0x862178
_RegRtlOpenPredefinedKey        ntoskrnl.exe+0x8453D0
ExpGetProcessInformation$filt$1        ntoskrnl.exe+0x862268
SeValidateImageHeader        ntoskrnl.exe+0x69243C
WbCreateWarbirdProcess        ntoskrnl.exe+0x6BD190
ExpGetProcessInformation$filt$2        ntoskrnl.exe+0x8622A4
PoBroadcastSystemState        ntoskrnl.exe+0xA47070
EtwpInitializeCompression        ntoskrnl.exe+0x3D7D40
ExpGetProcessInformation$filt$3        ntoskrnl.exe+0x8622E0
PspAllocateAndQueryNotificationChannel        ntoskrnl.exe+0x73C4F0
KiSelectLowestRankedThread        ntoskrnl.exe+0x2C88EC
ExpReleaseResourceForThreadLite        ntoskrnl.exe+0x29DD80
MiReferencePageRuns        ntoskrnl.exe+0x234F48
MmFreeVirtualMemory        ntoskrnl.exe+0x776410
PiDevCfgVerifyService        ntoskrnl.exe+0x7D2AA8
PopPowerAggregatorDiagTraceEvent        ntoskrnl.exe+0x79BFA8
KeIntSteerPeriodic        ntoskrnl.exe+0x2D4650
PopDeleteHiberFile        ntoskrnl.exe+0x849C18
ExpGetProcessInformation$filt$8        ntoskrnl.exe+0x86222C
ExpGetProcessInformation$filt$9        ntoskrnl.exe+0x86231C
PnpRemoveLockedDeviceNode        ntoskrnl.exe+0x36BB08
PopNetUpdateCsConsumptionFlags        ntoskrnl.exe+0x845118
RtlUnicodeStringToOemString$fin$0        ntoskrnl.exe+0x86034A
EtwpUpdateFileHeader        ntoskrnl.exe+0x68F664
LocalGetAceCondition        ntoskrnl.exe+0x73C000
MiReadWriteAnyLevelShadowPte        ntoskrnl.exe+0x380A20
PnpUnlinkDeviceRemovalRelations        ntoskrnl.exe+0x7CB400
PsOpenProcess        ntoskrnl.exe+0x760480
CcAllocateVacbLevel        ntoskrnl.exe+0x219164
PnpPrepareDriverLoading        ntoskrnl.exe+0x7D2904
HalpCmciSetProcessorConfigIntel        ntoskrnl.exe+0x3AC278
SeOpenObjectAuditAlarmWithTransaction        ntoskrnl.exe+0x72E0D0
MiUpdatePfnPriority        ntoskrnl.exe+0x2F126C
KeSetActualBasePriorityThread        ntoskrnl.exe+0x2F4260
KiSetControlEnforcement        ntoskrnl.exe+0xA55770
HalpDmaAllocateChildAdapterV3        ntoskrnl.exe+0x82D97C
HalpTimerInitializeClock        ntoskrnl.exe+0x3B80C0
HalpDmaAllocateChildAdapterV2        ntoskrnl.exe+0x82DD08
CcForEachPartition        ntoskrnl.exe+0x2AC27C
KiVerifyXcpt13$filt$3        ntoskrnl.exe+0xB340F1
KiSchedulerApcTerminate        ntoskrnl.exe+0x699C00
MiLockPageAndSetDirty        ntoskrnl.exe+0x3546E4
ExReleaseDisownedFastResource        ntoskrnl.exe+0x397BD0
KeStartIdealProcessorAssignmentBlock        ntoskrnl.exe+0x2B6FE0
PspDeleteUserStack        ntoskrnl.exe+0x6C1ABC
ExpGetSystemBasicInformation$filt$0        ntoskrnl.exe+0x431017
RtlpHpSegMgrCommitComplete        ntoskrnl.exe+0x2378C4
PspStorageAllocSlot        ntoskrnl.exe+0x8229C8
MiWakeZeroingThreads        ntoskrnl.exe+0x26DB4C
PiSwIrpPropertySet        ntoskrnl.exe+0x7DAFCC
_CmSetDeviceInterfaceMappedPropertyFromRegValue        ntoskrnl.exe+0x6A9254
PopFxActivateComponent        ntoskrnl.exe+0x3B7500
KeAcquireInterruptSpinLock        ntoskrnl.exe+0x247660
MiGetHugeRangeFromNode        ntoskrnl.exe+0x251AC4
KxWaitForSpinLockAndAcquire        ntoskrnl.exe+0x295DF0
HvlFlushAddressSpaceTb        ntoskrnl.exe+0x398AA4
PpmUpdateArchitecturalEfficiencyClass        ntoskrnl.exe+0xB2BE64
PfSnPrefetchCacheCtxStart        ntoskrnl.exe+0x840128
PiDevCfgConfigureDeviceKeys        ntoskrnl.exe+0x66C7EC
PiDqObjectManagerHandleObjectEvent        ntoskrnl.exe+0x6A1718
NtAcquireProcessActivityReference$filt$0        ntoskrnl.exe+0x8600E9
PipCreateDependencyNode        ntoskrnl.exe+0x82BB5C
MiCheckSecuredVad        ntoskrnl.exe+0x72AEFC
MxGetNextPage        ntoskrnl.exe+0xAF335C
ObSetSecurityDescriptorInfo        ntoskrnl.exe+0x6FF250
PspJobDeleteStorageArrays        ntoskrnl.exe+0x73D1A8
RtlpMuiRegLoadLicInformation        ntoskrnl.exe+0x3C04E0
NtDeleteValueKey        ntoskrnl.exe+0x70E090
DbgLoadImageSymbols        ntoskrnl.exe+0x20B820
WheapInitializeEventing        ntoskrnl.exe+0xB216E0
MiPurgeLargeZeroNodePages        ntoskrnl.exe+0x389CA8
AlpcpReleaseMessageAttributesOnCancel        ntoskrnl.exe+0x7263FC
PopIdleWakeNotifyModernStandbyExitWorker        ntoskrnl.exe+0x7EEB10
HalpDmaInitializeMasterAdapter        ntoskrnl.exe+0xB006B8
CcSetAdditionalCacheAttributes        ntoskrnl.exe+0x225170
IopInitializeCrashDump        ntoskrnl.exe+0x8337F8
LdrpVerifyAlternateResourceModuleEx        ntoskrnl.exe+0x3D4314
HalpIommuMarkHiberPhase        ntoskrnl.exe+0xA4AFF4
MiParseImageSectionHeaders        ntoskrnl.exe+0x78A330
CmpHandlePageFileOpenNotification        ntoskrnl.exe+0x842548
IoCsqRemoveIrp        ntoskrnl.exe+0x3A0A60
EtwpFailLogging        ntoskrnl.exe+0x24B26C
RtlStringLengthWorkerA        ntoskrnl.exe+0x4FE9CC
IopPortAddAllocation        ntoskrnl.exe+0x819000
WmipOpenBlock        ntoskrnl.exe+0x7B3F38
PiAuAllocateAndInitializeSid        ntoskrnl.exe+0x835654
CmpCallCallBacksEx        ntoskrnl.exe+0x77F5D0
PnpInitializeNotifyEntry        ntoskrnl.exe+0x7CA674
KeCopyLastBranchInformation        ntoskrnl.exe+0x289A70
MiPerformSafePdeWrite        ntoskrnl.exe+0x252D40
MiMarkSessionDeletePending        ntoskrnl.exe+0x253DB8
SdbpCleanupLocalDatabaseSupport        ntoskrnl.exe+0x7DA410
KsepCacheInitialize        ntoskrnl.exe+0x823E60
PnpGetDeviceInterfacePropertyData        ntoskrnl.exe+0x6C5C24
KiIntSteerDisable        ntoskrnl.exe+0x3A9330
PnpInitializeDeviceEvents        ntoskrnl.exe+0xB2BC84
CmpKeyEnumStackEntryAdvance        ntoskrnl.exe+0x654D50
NtQueryDriverEntryOrder$filt$1        ntoskrnl.exe+0x9FDC65
CcWriteBehindInternal        ntoskrnl.exe+0x2E3230
ExInitializeFastResource        ntoskrnl.exe+0x3A08F0
MI_MAKE_PROTECT_WRITE_COPY        ntoskrnl.exe+0x228E38
MiConvertStaticSubsections        ntoskrnl.exe+0x35945C
PsMapSystemDlls        ntoskrnl.exe+0x6E5CDC
RtlpCopyBitMapTailToHead        ntoskrnl.exe+0x3627B8
RtlGetVersion        ntoskrnl.exe+0x699CD0
FsRtlGetFileSize        ntoskrnl.exe+0x730A80
RtlCompareString        ntoskrnl.exe+0x665350
KGetUnlockSetting        ntoskrnl.exe+0x66DB88
EmpParseTargetRuleStringIndexList        ntoskrnl.exe+0xB02718
PopWriteHiberImage        ntoskrnl.exe+0xA48A08
PfpRpControlRequest        ntoskrnl.exe+0x69B944
PfSnGetCompletedTrace        ntoskrnl.exe+0x6A23B8
PopAllocateHiberContext        ntoskrnl.exe+0x7EAAE0
ExpGetKernelDataProtection$fin$0        ntoskrnl.exe+0x85F7AF
NtSubmitIoRing$filt$0        ntoskrnl.exe+0x556657
RtlpMuiRegCreateKernelRegistryInfo        ntoskrnl.exe+0x3C030C
EtwpEnableTrace        ntoskrnl.exe+0x7FEDCC
RawReadWriteDeviceControl        ntoskrnl.exe+0x720A34
MiLockPageTableRange        ntoskrnl.exe+0x3823A4
IoReleaseRemoveLockEx        ntoskrnl.exe+0x224B90
MmAllocatePartitionNodePagesForMdlEx        ntoskrnl.exe+0x256080
RtlWideCharArrayCopyStringWorker        ntoskrnl.exe+0x5DB088
RtlWideCharArrayCopyStringWorker        ntoskrnl.exe+0x5DB088
EtwpDeleteRegistrationObject        ntoskrnl.exe+0x6FD6D0
LdrResGetRCConfig        ntoskrnl.exe+0x65FA04
PipClearDevNodeProblem        ntoskrnl.exe+0x7CCC7C
PiDevCfgInitMigrationContext        ntoskrnl.exe+0x6BE5B8
PopThermalEventTransitionEnableDeepSleep        ntoskrnl.exe+0x387204
CmpUnlockHashEntryByKcb        ntoskrnl.exe+0x714AB0
PspRemoveProcessFromJobChain        ntoskrnl.exe+0x792DB0
IoAllocateDriverObjectExtension        ntoskrnl.exe+0x251040
PiDrvDbLoadHive        ntoskrnl.exe+0x7CCBA8
DestroyEventEntry        ntoskrnl.exe+0x3821D4
CcWorkerThread        ntoskrnl.exe+0x27C9A0
PspInitializeNetRateControl        ntoskrnl.exe+0xB183F8
PoFxRegisterDripsWatchdogCallback        ntoskrnl.exe+0x3D7BD0
RtlStringCchCatW        ntoskrnl.exe+0x36D478
PopPlRegisterComponent        ntoskrnl.exe+0x3B6FB8
EmonCompleteInitializeProfiling        ntoskrnl.exe+0xA51C90
ExReturnPoolQuota        ntoskrnl.exe+0x2AAEC0
IopInitializeDumpPolicySettings        ntoskrnl.exe+0x848F30
KsepStringDuplicate        ntoskrnl.exe+0x7D76A8
IopQueryNameInternal        ntoskrnl.exe+0x722624
IoReportTargetDeviceChangeAsynchronous        ntoskrnl.exe+0x276B20
KseDriverScopeInitialize        ntoskrnl.exe+0xB15348
IopInsertLegacyBusDeviceNode        ntoskrnl.exe+0x848AE8
