MxPageAlwaysHot        ntoskrnl.exe+0xA3F200
MiSyncSystemPdes        ntoskrnl.exe+0x2E20E0
RtlpHpVaMgrRangeCreate        ntoskrnl.exe+0x2D9534
KiInitializeUserApc$filt$0        ntoskrnl.exe+0x410919
PopEtProcessSnapshotCreate        ntoskrnl.exe+0x6F723C
ExpGetProcessInformation$filt$4        ntoskrnl.exe+0x7D3CC0
AlpcpDeleteBlob        ntoskrnl.exe+0x68885C
IopStoreArcInformation        ntoskrnl.exe+0xA4D76C
PpmParkSteerInterrupts        ntoskrnl.exe+0x21DC00
CcSetLoggedDataThreshold        ntoskrnl.exe+0x35F7F0
PpmSnapPerformanceAccumulation        ntoskrnl.exe+0x216050
ExpGetProcessInformation$filt$5        ntoskrnl.exe+0x7D3D02
KiSetPriorityThread        ntoskrnl.exe+0x213680
RtlFindLastBackwardRunClear        ntoskrnl.exe+0x3492C0
ExpGetProcessInformation$filt$6        ntoskrnl.exe+0x7D3D86
ExpGetProcessInformation$filt$7        ntoskrnl.exe+0x7D3F12
ExpGetSystemFirmwareTableInformation        ntoskrnl.exe+0x6FC84C
ExpGetProcessInformation$filt$0        ntoskrnl.exe+0x7D3D44
_RegRtlOpenPredefinedKey        ntoskrnl.exe+0x7BADA4
ExpGetProcessInformation$filt$1        ntoskrnl.exe+0x7D3E4C
SeValidateImageHeader        ntoskrnl.exe+0x6EB564
WbCreateWarbirdProcess        ntoskrnl.exe+0x71063C
AnFwpDisableProgressTimer        ntoskrnl.exe+0x9F04EC
ExpGetProcessInformation$filt$2        ntoskrnl.exe+0x7D3E8E
PoBroadcastSystemState        ntoskrnl.exe+0x98F324
ExpGetProcessInformation$filt$3        ntoskrnl.exe+0x7D3ED0
PspAllocateAndQueryNotificationChannel        ntoskrnl.exe+0x6ECCCC
KiSelectLowestRankedThread        ntoskrnl.exe+0x2EB9C0
MiReferencePageRuns        ntoskrnl.exe+0x32BD60
PiDevCfgVerifyService        ntoskrnl.exe+0x7694C0
PopPowerAggregatorDiagTraceEvent        ntoskrnl.exe+0x763B74
KeIntSteerPeriodic        ntoskrnl.exe+0x21E220
ExpGetProcessInformation$filt$8        ntoskrnl.exe+0x7D3DC8
ExpGetProcessInformation$filt$9        ntoskrnl.exe+0x7D3E0A
PnpRemoveLockedDeviceNode        ntoskrnl.exe+0x36C5F8
PopNetUpdateCsConsumptionFlags        ntoskrnl.exe+0x7BA858
RtlUnicodeStringToOemString$fin$0        ntoskrnl.exe+0x7D6D73
EtwpUpdateFileHeader        ntoskrnl.exe+0x6C8F74
LocalGetAceCondition        ntoskrnl.exe+0x642808
MiReadWriteAnyLevelShadowPte        ntoskrnl.exe+0x361910
PnpUnlinkDeviceRemovalRelations        ntoskrnl.exe+0x731644
CcAllocateVacbLevel        ntoskrnl.exe+0x34FEB8
PnpPrepareDriverLoading        ntoskrnl.exe+0x72CB80
HalpCmciSetProcessorConfigIntel        ntoskrnl.exe+0x39DDF0
SeOpenObjectAuditAlarmWithTransaction        ntoskrnl.exe+0x5ECB20
KeSetActualBasePriorityThread        ntoskrnl.exe+0x213990
SshpSetBlockerActive        ntoskrnl.exe+0x3498C0
HalpTimerInitializeClock        ntoskrnl.exe+0x3ABDC8
PnpIsLegacyDriver        ntoskrnl.exe+0x729EF8
CcForEachPartition        ntoskrnl.exe+0x343CC0
KiVerifyXcpt13$filt$3        ntoskrnl.exe+0xA76EAB
KiSchedulerApcTerminate        ntoskrnl.exe+0x6F5390
MiLockPageAndSetDirty        ntoskrnl.exe+0x2B6FB0
SepIsChildTokenByPointer        ntoskrnl.exe+0x6E85DC
ExReleaseDisownedFastResource        ntoskrnl.exe+0x38BA60
PspDeleteUserStack        ntoskrnl.exe+0x70C828
ExpGetSystemBasicInformation$filt$0        ntoskrnl.exe+0x411FFB
PopInitSIdle        ntoskrnl.exe+0x77A4C8
RtlpHpSegMgrCommitComplete        ntoskrnl.exe+0x356414
PspStorageAllocSlot        ntoskrnl.exe+0x77DB88
PiSwIrpPropertySet        ntoskrnl.exe+0x777FC4
_CmSetDeviceInterfaceMappedPropertyFromRegValue        ntoskrnl.exe+0x756454
PopFxActivateComponent        ntoskrnl.exe+0x3BBA10
KeAcquireInterruptSpinLock        ntoskrnl.exe+0x354140
KxWaitForSpinLockAndAcquire        ntoskrnl.exe+0x2D79A0
IopCheckListForCancelableIrp        ntoskrnl.exe+0x347318
HvlFlushAddressSpaceTb        ntoskrnl.exe+0x38D94C
PfSnPrefetchCacheCtxStart        ntoskrnl.exe+0x7B5990
PiDevCfgConfigureDeviceKeys        ntoskrnl.exe+0x7551F4
PiDqObjectManagerHandleObjectEvent        ntoskrnl.exe+0x7543A8
NtAcquireProcessActivityReference$filt$0        ntoskrnl.exe+0x7D75AF
PipCreateDependencyNode        ntoskrnl.exe+0x7A1EFC
MiCheckSecuredVad        ntoskrnl.exe+0x62F008
MxGetNextPage        ntoskrnl.exe+0xA3F124
ObSetSecurityDescriptorInfo        ntoskrnl.exe+0x668C10
KiAddProcessorToGroupDatabase        ntoskrnl.exe+0x3B1A08
PspJobDeleteStorageArrays        ntoskrnl.exe+0x657050
RtlpMuiRegLoadLicInformation        ntoskrnl.exe+0x3B39E4
NtDeleteValueKey        ntoskrnl.exe+0x5DD640
DbgLoadImageSymbols        ntoskrnl.exe+0x36F8E0
WheapInitializeEventing        ntoskrnl.exe+0xA5A324
AlpcpReleaseMessageAttributesOnCancel        ntoskrnl.exe+0x62DA1C
HalpDmaInitializeMasterAdapter        ntoskrnl.exe+0xA5CF2C
CcSetAdditionalCacheAttributes        ntoskrnl.exe+0x2C4700
IopInitializeCrashDump        ntoskrnl.exe+0x7A3648
LdrpVerifyAlternateResourceModuleEx        ntoskrnl.exe+0x37F64C
HalpIommuMarkHiberPhase        ntoskrnl.exe+0x99332C
MiParseImageSectionHeaders        ntoskrnl.exe+0x60B1B0
CmpHandlePageFileOpenNotification        ntoskrnl.exe+0x7B60A8
IoCsqRemoveIrp        ntoskrnl.exe+0x3973F0
EtwpFailLogging        ntoskrnl.exe+0x36A434
RtlStringLengthWorkerA        ntoskrnl.exe+0x4B13AC
IopPortAddAllocation        ntoskrnl.exe+0x7B5010
WmipOpenBlock        ntoskrnl.exe+0x5DC278
PiAuAllocateAndInitializeSid        ntoskrnl.exe+0x78C264
CmpCallCallBacksEx        ntoskrnl.exe+0x5F1510
PnpInitializeNotifyEntry        ntoskrnl.exe+0x6C5934
KeCopyLastBranchInformation        ntoskrnl.exe+0x2EAA10
MiPerformSafePdeWrite        ntoskrnl.exe+0x37F28C
MiMarkSessionDeletePending        ntoskrnl.exe+0x3873B8
SdbpCleanupLocalDatabaseSupport        ntoskrnl.exe+0x74042C
KsepCacheInitialize        ntoskrnl.exe+0x7AC5B0
KiIntSteerDisable        ntoskrnl.exe+0x37491C
PnpInitializeDeviceEvents        ntoskrnl.exe+0xA518E4
NtQueryDriverEntryOrder$filt$1        ntoskrnl.exe+0x9513C5
CcWriteBehindInternal        ntoskrnl.exe+0x2BFB90
ExInitializeFastResource        ntoskrnl.exe+0x3971D0
MI_MAKE_PROTECT_WRITE_COPY        ntoskrnl.exe+0x368C44
MiConvertStaticSubsections        ntoskrnl.exe+0x24C674
PsMapSystemDlls        ntoskrnl.exe+0x6B5E54
RtlpCopyBitMapTailToHead        ntoskrnl.exe+0x347D5C
RtlGetVersion        ntoskrnl.exe+0x6FBB40
