MiSyncSystemPdes:: 0x3e788
ObpStopRTStackTrace:: 0x47bc10
RtlSetOwnerSecurityDescriptor:: 0x2cee90
PnpInitializeLegacyBusInformationTable:: 0x571350
AlpcpDeleteBlob:: 0x30e564
TmpNamespaceEnumerate:: 0x429890
IopStoreArcInformation:: 0x5839c0
CmpUpdateParentForEachSon:: 0x435fb0
PsReferenceImpersonationToken:: 0x330890
??_C@_0DG@HBEOGLKD@?$CFs?$CK?$CK?5?5?$CF12s?5?9?5Address?5?$CFp?5base?5at?5@FNODOBFM@:: 0xaa300
??_C@_1BO@LJHGOKGD@?$AA?2?$AAD?$AAo?$AAs?$AAD?$AAe?$AAv?$AAi?$AAc?$AAe?$AAs?$AA?2?$AAA?$AA?3?$AA?$AA@:: 0x1a6ea8
WmipGetDevicePDO:: 0x43d310
KiSetPriorityThread:: 0x632c0
CmpQueueLazyCommitWorker:: 0x3fe980
KiInterruptDispatchNoEOI:: 0x6bf10
RtlFindLastBackwardRunClear:: 0x4a380
__newclmap:: 0x1a6900
__lc_codepage:: 0x1f2c20
PopQueueBatteryStatusTimeout:: 0x130330
ExpGetSystemFirmwareTableInformation:: 0x4a4380
CmpDoReDoDeleteValue:: 0x443290
SmKmSendDeviceControl:: 0x45f320
ZwRenameTransactionManager:: 0x6a580
EtwpRemoveProviderTableEntry:: 0x3fcb10
ViShutdownWatchdogExecuteDpc:: 0x506530
BiAddBootEntryToNvramDisplayOrder:: 0x4b4a30
MmZeroedPageSingleBitErrorsDetected:: 0x225168
??_C@_1M@IMPFOPBG@?$AAr?$AAo?$AA?9?$AAR?$AAO?$AA?$AA@:: 0x1b4968
curr_y:: 0x21363c
MmPageToNode:: 0x2a7150
InbvEnableBootDriver:: 0x1209c0
CmpLazyCommitListLock:: 0x274db0
PsReturnProcessPageFileQuota:: 0x38fa68
??_C@_1CE@NAICKCLE@?$AAN?$AAo?$AAn?$AAP?$AAa?$AAg?$AAe?$AAd?$AAP?$AAo?$AAo?$AAl?$AAQ?$AAu?$AAo?$AAt?$AAa?$AA?$AA@LBKOJDO@:: 0x362050
?BTreeInsertEx@?$B_TREE@KU_ST_REGION_ENTRY@?$ST_STORE@USM_TRAITS@@@@$0BAAA@UNP_CONTEXT@@@@SAJPEAU1@PEAUSEARCH_RESULT@1@PEAK@Z:: 0x1508d0
SeValidateImageHeader:: 0x2d55bc
BiIsVolumePartitionInformationRetained:: 0x4d0e50
??_C@_19EHJFODIJ@?$AAI?$AAD?$AAE?$AAP?$AA?$AA@:: 0x1b0c18
??_C@_0BF@DFCHPNNC@?3?3ffff?30?3?$CFu?4?$CFu?4?$CFu?4?$CFu?$AA@FNODOBFM@:: 0xac650
?SmStoreContentsRundown@?$SMKM_STORE_MGR@USM_TRAITS@@@@SAJPEAU1@PEAU?$SMKM_STORE@USM_TRAITS@@@@@Z:: 0x15c470
IoSetTopLevelIrp:: 0x852b0
PoBroadcastSystemState:: 0x2bd260
WheapPfaLock:: 0x1ffb28
ExUnregisterExtension:: 0x4a64b0
PnpQueryBusInformation:: 0x42ee70
IopFreeBandwidthContract:: 0x42cd20
AppHelpUpdatePushdownRate:: 0x3ef510
WmipDataProviderPnpidGuid:: 0x1aa810
??_C@_1CA@FJJAHGFO@?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?5?$AAR?$AAe?$AAs?$AAe?$AAr?$AAv?$AAe?$AAd?$AA?$AA@PBOPGDP@:: 0x56a920
??_C@_1EO@EHHFOMPM@?$AAS?$AAe?$AAc?$AAu?$AAr?$AAi?$AAt?$AAy?$AA?9?$AAS?$AAP?$AAP?$AA?9?$AAR?$AAe?$AAs?$AAe?$AAr?$AAv?$AAe?$AAd?$AA?9?$AAT?$AAB?$AAL?$AAR?$AAe?$AAm?$AAa?$AAi?$AAn?$AAi@:: 0x1b39f0
?BTreeIteratorAttachEx@?$B_TREE@T_SM_PAGE_KEY@@USMKM_FRONTEND_ENTRY@?$SMKM_STORE_MGR@USM_TRAITS@@@@$0BAAA@UB_TREE_DUMMY_NODE_POOL@@@@SAPEAUNODE@?$B_TREE_HEADER@T_SM_PAGE_KEY@@USMKM_FRONTEND_ENTRY@?$SMKM_STORE_MGR@USM_TRAITS@@@@@@PEAUITERATOR@1@PEAU1@@Z:: 0x110f90
BapdpRegisterSiData:: 0x570160
IopEnumerateRelations:: 0x3e0950
ExpReleaseResourceForThreadLite:: 0x79640
??_C@_1CC@BJKKJNPK@?$AAP?$AAo?$AAo?$AAl?$AAU?$AAs?$AAa?$AAg?$AAe?$AAM?$AAa?$AAx?$AAi?$AAm?$AAu?$AAm?$AA?$AA@:: 0x1b2390
