MiSyncSystemPdes:: 0x19ad8
ObpStopRTStackTrace:: 0x4536c0
RtlSetOwnerSecurityDescriptor:: 0x349920
PnpInitializeLegacyBusInformationTable:: 0x55de50
AlpcpDeleteBlob:: 0x310218
TmpNamespaceEnumerate:: 0x3eb990
IopStoreArcInformation:: 0x56f640
CmpUpdateParentForEachSon:: 0x42ade0
PsReferenceImpersonationToken:: 0x2deda8
??_C@_0DG@HBEOGLKD@?$CFs?$CK?$CK?5?5?$CF12s?5?9?5Address?5?$CFp?5base?5at?5@FNODOBFM@:: 0xa2fc0
??_C@_1BO@LJHGOKGD@?$AA?2?$AAD?$AAo?$AAs?$AAD?$AAe?$AAv?$AAi?$AAc?$AAe?$AAs?$AA?2?$AAA?$AA?3?$AA?$AA@:: 0x1ed8
WmipGetDevicePDO:: 0x408e60
KiSetPriorityThread:: 0x1f518
CmpQueueLazyCommitWorker:: 0x3c9600
KiInterruptDispatchNoEOI:: 0x94b20
RtlFindLastBackwardRunClear:: 0x7d884
__newclmap:: 0x1930
__lc_codepage:: 0x1f01a0
PopQueueBatteryStatusTimeout:: 0x110ad0
ExpGetSystemFirmwareTableInformation:: 0x487570
CmpDoReDoDeleteValue:: 0x41c390
SmKmSendDeviceControl:: 0x42ea90
ZwRenameTransactionManager:: 0x92ec0
EtwpRemoveProviderTableEntry:: 0x3c7ad0
ViShutdownWatchdogExecuteDpc:: 0x507650
BiAddBootEntryToNvramDisplayOrder:: 0x499110
MmZeroedPageSingleBitErrorsDetected:: 0x222f44
??_C@_1M@IMPFOPBG@?$AAr?$AAo?$AA?9?$AAR?$AAO?$AA?$AA@:: 0x102a8
curr_y:: 0x21083c
MmPageToNode:: 0x29e188
InbvEnableBootDriver:: 0xfbc50
CmpLazyCommitListLock:: 0x272b70
PsReturnProcessPageFileQuota:: 0x30fc08
??_C@_1CE@NAICKCLE@?$AAN?$AAo?$AAn?$AAP?$AAa?$AAg?$AAe?$AAd?$AAP?$AAo?$AAo?$AAl?$AAQ?$AAu?$AAo?$AAt?$AAa?$AA?$AA@LBKOJDO@:: 0x4f2830
?BTreeInsertEx@?$B_TREE@KU_ST_REGION_ENTRY@?$ST_STORE@USM_TRAITS@@@@$0BAAA@UNP_CONTEXT@@@@SAJPEAU1@PEAUSEARCH_RESULT@1@PEAK@Z:: 0x13a9c0
SeValidateImageHeader:: 0x34955c
BiIsVolumePartitionInformationRetained:: 0x4c2c50
??_C@_19EHJFODIJ@?$AAI?$AAD?$AAE?$AAP?$AA?$AA@:: 0xc4a8
??_C@_0BF@DFCHPNNC@?3?3ffff?30?3?$CFu?4?$CFu?4?$CFu?4?$CFu?$AA@FNODOBFM@:: 0xa52f0
?SmStoreContentsRundown@?$SMKM_STORE_MGR@USM_TRAITS@@@@SAJPEAU1@PEAU?$SMKM_STORE@USM_TRAITS@@@@@Z:: 0x15ad40
IoSetTopLevelIrp:: 0x814d0
PoBroadcastSystemState:: 0x2b6080
WheapPfaLock:: 0x1fcd20
ExUnregisterExtension:: 0x4896a0
PnpQueryBusInformation:: 0x3f6f50
IopFreeBandwidthContract:: 0x4259e0
AppHelpUpdatePushdownRate:: 0x3b9850
WmipDataProviderPnpidGuid:: 0x5850
??_C@_1CA@FJJAHGFO@?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?5?$AAR?$AAe?$AAs?$AAe?$AAr?$AAv?$AAe?$AAd?$AA?$AA@PBOPGDP@:: 0x557450
??_C@_1EO@EHHFOMPM@?$AAS?$AAe?$AAc?$AAu?$AAr?$AAi?$AAt?$AAy?$AA?9?$AAS?$AAP?$AAP?$AA?9?$AAR?$AAe?$AAs?$AAe?$AAr?$AAv?$AAe?$AAd?$AA?9?$AAT?$AAB?$AAL?$AAR?$AAe?$AAm?$AAa?$AAi?$AAn?$AAi@:: 0xf330
?BTreeIteratorAttachEx@?$B_TREE@T_SM_PAGE_KEY@@USMKM_FRONTEND_ENTRY@?$SMKM_STORE_MGR@USM_TRAITS@@@@$0BAAA@UB_TREE_DUMMY_NODE_POOL@@@@SAPEAUNODE@?$B_TREE_HEADER@T_SM_PAGE_KEY@@USMKM_FRONTEND_ENTRY@?$SMKM_STORE_MGR@USM_TRAITS@@@@@@PEAUITERATOR@1@PEAU1@@Z:: 0xea7a0
BapdpRegisterSiData:: 0x55cc60
IopEnumerateRelations:: 0x3aa7b0
MiTryLargePagesForImageMap:: 0x432ba0
ExpReleaseResourceForThreadLite:: 0x39850
??_C@_1CC@BJKKJNPK@?$AAP?$AAo?$AAo?$AAl?$AAU?$AAs?$AAa?$AAg?$AAe?$AAM?$AAa?$AAx?$AAi?$AAm?$AAu?$AAm?$AA?$AA@:: 0xdcb8
SdbpFindNextNamedTag:: 0x3c22e0
EtwpStackWalkingEnabled:: 0x3cbe10
DbgQueryDebugFilterState:: 0xd7810
PfpPrefetchEntireDirectory:: 0x4bac50
TmpShutdownTransactionManager:: 0x1641f0
??_C@_04MGNJNGKI@?$BL?$FL0m?$AA@CIFEBFPJ@:: 0x51a050
??_C@_0CJ@HEPGPNEC@?$CFs?3?5PopUmpoRegisterForPowerState@FNODOBFM@:: 0xa42f0
PopDeleteHiberFile:: 0x4bd900
TmThawTransactions:: 0x3ceda0
VerifierExInitializePagedLookasideList:: 0x50f500
??_C@_1GI@HGIHOLK@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@LBKOJDO@:: 0x4f2a30
??_C@_1IA@GPBHBJN@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@NNGAKEGL@:: 0x35bac0
g_bDBG:: 0x1fb0
HalDispatchTable:: 0x1e3ce0
WmipRegistryPath:: 0x21a180
ViCodeSectionHandle:: 0x210538
CmpFree:: 0x3199d8
Kd_LDR_Mask:: 0x1fd398
Kd_WDI_Mask:: 0x1fd3ec
KiServiceInternal:: 0xa1500
??_C@_1HM@IHPPCBKD@?$AA?2?$AAR?$AAe?$AAg?$AAi?$AAs?$AAt?$AAr?$AAy?$AA?2?$AAM?$AAa?$AAc?$AAh?$AAi?$AAn?$AAe?$AA?2?$AAS?$AAy?$AAs?$AAt?$AAe?$AAm?$AA?2?$AAC?$AAu?$AAr?$AAr?$AAe?$AAn?$AAt@PBOPGDP@:: 0x556d40
MiMirrorHoldsPfn:: 0x23af50
RtlpLockAtomTable:: 0x30abfc
RtlStdLogStackTrace:: 0x118c90
ZwCreateNamedPipeFile:: 0x91aa0
PshedDisableErrorSource:: 0x817be
PnpRemoveLockedDeviceNode:: 0x165fc0
MiRemoveNode:: 0x44640
WdipSemRegHandle:: 0x21a1d8
KeQueryTimerDueTime:: 0xf28c0
ObpAuditBaseObjects:: 0x21f900
KiKvaLeakageSimulate:: 0x29e148
MiWaitForFlushInProgress:: 0x12c460
SmWdInitialize:: 0x106a00
EtwpUpdateFileHeader:: 0x341e1c
__real@3f10000000000000:: 0x12488
?SmEtwDescriptorPtrs@@3PAPEBU_EVENT_DESCRIPTOR@@A:: 0x1e05f0
??_C@_0CH@GEGPOHNN@wmitrace?3?5EtwpStartTrace?5failed?3@NNGAKEGL@:: 0x35b200
NtGetContextThread:: 0x2bce80
ZwCreateDirectoryObject:: 0x91960
MiReadWriteAnyLevelShadowPte:: 0x8d990
PnpUnlinkDeviceRemovalRelations:: 0x415340
??_C@_1BG@KPDPFBJH@?$AA?2?$AA?$DP?$AA?$DP?$AA?2?$AAV?$AAo?$AAl?$AAu?$AAm?$AAe?$AA?$AA@:: 0xe360
PsOpenProcess:: 0x2d3f40
PfTDumpEntryInfo:: 0x3a9030
CcAllocateVacbLevel:: 0x698cc
PnpPrepareDriverLoading:: 0x43cb20
DbgkLkmdUnregisterCallback:: 0x457f70
SepMandatoryObjectTypePolicyLock:: 0x21ba80
SeOpenObjectAuditAlarmWithTransaction:: 0x2e2c10
??_C@_0M@LJKCMGIA@IRP_MJ_READ?$AA@GHGBBCHJ@:: 0x5478e0
??_C@_0BK@OJHAPPFL@GUID_DEVICE_START_REQUEST?$AA@:: 0xe550
tcpxsum:: 0x99f30
ExpTranslateNtPath:: 0x44ffd0
MiUpdatePfnPriority:: 0x7ddc0
BcdOpenSystemStore:: 0x4ef100
KiNmiCallbackListHead:: 0x26d7e0
RtlReadSingleHookValidation:: 0x3c6a90
??_C@_1M@NGEKBHII@?$AAM?$AAC?$AAH?$AAG?$AAR?$AA?$AA@:: 0xc4b8
KeSetActualBasePriorityThread:: 0x71a80
KiBugCheckDebugBreak:: 0x14e5c0
PrivateLoggerSecurityGuid:: 0xf1b0
KiStartProfileTarget:: 0xec650
SeEnableDelegationPrivilege:: 0x5395b0
AdtpInitializeAuditingCommon:: 0x34f69c
??_C@_04NNKLLLMF@?$CK?5?$CK?6?$AA@JKADOLAD@:: 0x4f8930
??_C@_1DO@DHKPAJOE@?$AAK?$AAe?$AAr?$AAn?$AAe?$AAl?$AA?9?$AAW?$AAi?$AAn?$AAd?$AAo?$AAw?$AAs?$AAM?$AAa?$AAx?$AAM?$AAe?$AAm?$AAA?$AAl?$AAl?$AAo?$AAw?$AAe?$AAd?$AAx?$AA6?$AA4?$AA?$AA@PBOPGDP@:: 0x557cf0
strcpy:: 0x834d0
KiLoadMTRRTarget:: 0x2a6660
PnpIsLegacyDriver:: 0x3ab230
PnprAddDeviceResources:: 0x493890
SepAdtInitializePrivilegeAuditing:: 0x3b2730
PopCheckIrpWatchdog:: 0x15354
GUID_SYSTEM_AWAYMODE:: 0xf100
SepIsChildTokenByPointer:: 0x2c18c8
WheapDefaultErrSrcRecover:: 0xdd880
MiZeroPfn:: 0x14ad8
KdpReadRemoteFile:: 0x4f4580
PopDiagInitialize:: 0x568510
ObpFreeWorkItemBlock:: 0x4535f0
ViDeadlockDatabaseLock:: 0x21ae08
KiCompleteEffectiveRangeChange:: 0x2aeb70
??_C@_1BO@PKGNLHAL@?$AAH?$AAi?$AAb?$AAe?$AAr?$AAD?$AAu?$AAm?$AAp?$AAC?$AAo?$AAu?$AAn?$AAt?$AA?$AA@LBKOJDO@:: 0x4f2488
PopInitSIdle:: 0x48f1a0
RtlpVersions:: 0x7c60
KeCheckForZeroPage:: 0x9c720
??_C@_1BI@INEKAINN@?$AAl?$AAo?$AAc?$AA2?$AA0?$AA0?$AA8?$AA?4?$AAn?$AAl?$AAs?$AA?$AA@NNGAKEGL@:: 0x35bfd0
ViCtxIsr:: 0x504070
PPM_ETW_PROVIDER:: 0xb9f0
